ID LINKS XCOORD_P YCOORD_P
18234 2 2193345 168940
18599 3 2192207 168935
18661 1 2191112 165676
18100 1 2190910 168113
18597 3 2192148 167999
18596 1 2192064 167656
18598 1 2192404 167939
17483 3 2193684 167035
18016 1 2194167 167119
18023 3 2193514 165363
17481 4 2193372 166181
18630 3 2193994 165389
18017 3 2193171 166631
18772 2 2192624 166233
17482 3 2193537 166615
18065 1 2192971 166815
18631 1 2194082 166059
18206 3 2194290 168692
18232 3 2193845 168816
18233 1 2194130 169550
18632 1 2197625 161980
18237 1 2196712 168911
18614 3 2197401 167599
18235 3 2197790 167773
18615 1 2196691 167663
18096 1 2195612 167512
18080 1 2204387 155081
18054 3 2207169 156538
18051 3 2208745 156769
18055 1 2206181 158022
18052 3 2209453 156873
18574 3 2209202 157381
18578 1 2209574 157151
18862 2 2208620 158359
18053 1 2208695 157264
18089 3 2204889 161019
18564 3 2204341 163482
18569 3 2205183 166700
18567 3 2204528 166713
18573 3 2205594 168235
17494 3 2203361 168396
18025 3 2201564 163689
18019 3 2202897 166790
18858 2 2203981 164568
18859 2 2203323 165695
18168 3 2204822 164094
18857 3 2204521 164234
18937 3 2203443 160465
18024 1 2202447 163678
18390 3 2202939 159922
18391 1 2201646 160920
18658 3 2201486 163274
18041 3 2200047 159892
18659 1 2202177 163221
18227 1 2204311 159299
18228 3 2203351 160293
18938 1 2203965 160170
18560 3 2203422 163431
18562 3 2203863 163471
18561 1 2203229 164664
18565 1 2203448 163238
18563 1 2203868 163253
17493 3 2203300 167380
18021 3 2203260 166378
17492 3 2203292 166928
18022 1 2202843 166390
18864 2 2203276 166637
18018 1 2203535 166905
18566 1 2204339 166620
18568 1 2204479 166818
17491 3 2206073 161301
18036 2 2208285 161891
18170 1 2208060 162988
18171 3 2205910 163313
18851 2 2205950 161646
18853 2 2205850 162515
17490 3 2206171 161076
18852 2 2205894 163087
18856 2 2205250 163923
18169 1 2204860 164258
20382 2 2209324 161990
18012 3 2205771 168237
18097 4 2208203 168275
18461 1 2208218 167569
18570 3 2205178 167333
18571 1 2205693 166711
18572 1 2205157 167646
18013 1 2206089 169444
18926 3 2208519 168248
18925 1 2208193 168722
19691 1 2208528 167848
20394 2 2208918 168190
20593 1 2209060 167816
15475 2 2196147 180555
15473 4 2195276 183377
17495 3 2199811 173788
17496 3 2199383 174105
17911 1 2199886 187923
17912 3 2199346 187923
17948 3 2191904 182299
17950 1 2191120 182876
17951 3 2194161 182313
17931 3 2193139 185268
17952 3 2202652 182368
17947 3 2202649 183533
17953 3 2200192 182953
17990 3 2197952 173853
18321 3 2200125 179651
17967 4 2198769 179662
17964 3 2199239 180867
18476 3 2199989 182511
18477 3 2199581 182526
18478 2 2199046 183359
18479 2 2199001 182616
17891 3 2199908 190493
18172 3 2197840 182094
18174 3 2198151 183461
19718 3 2198195 193174
19719 3 2200036 193243
17982 3 2202471 179560
18103 2 2194835 171678
18116 3 2192060 179210
18117 3 2194844 180170
18166 2 2197707 176447
18167 3 2197582 176744
17507 3 2196271 176203
18299 3 2196294 176654
18238 3 2190718 175643
18768 3 2196154 176206
17977 4 2196132 176671
18108 2 2195293 174554
18777 1 2192927 174979
18826 1 2194833 175751
18827 3 2195093 176787
18778 2 2190830 173224
18830 2 2191679 171228
18239 1 2190215 175498
17949 3 2192078 182304
18521 3 2191541 180753
